year,aquaculturefao,marinefao,inlandfao,totalwildfao,totalfao
1950,37855,24000,138325,162325,200180
1951,38853,24000,137347,161347,200200
1952,39875,24000,136345,160345,200220
1953,40932,30000,179318,209318,250250
1954,42018,36000,222262,258262,300280
1955,43130,36000,221180,257180,300310
1956,44280,36000,220070,256070,300350
1957,45469,42000,262931,304931,350400
1958,46688,42000,261762,303762,350450
1959,47947,48000,304563,352563,400510
1960,49237,48000,303333,351333,400570
1961,50569,54000,346071,400071,450640
1962,51944,60000,388776,448776,500720
1963,53362,60000,387448,447448,500810
1964,54824,66000,430086,496086,550910
1965,57897,72000,471000,543000,600897
1966,58030,72000,471253,543253,601283
1967,59460,72000,469781,541781,601241
1968,59519,78000,514000,592000,651519
1969,62927,78000,510723,588723,651650
1970,64716,88150,537234,625384,690100
1971,68080,87920,584100,672020,740100
1972,68508,84660,664932,749592,818100
1973,70525,85360,664315,749675,820200
1974,70970,86030,665082,751112,822082
1975,73340,91660,475070,566730,640070
1976,77063,96240,468302,564542,641605
1977,77230,105770,460769,566539,643769
1978,82760,113240,450895,564135,646895
1979,87360,112640,447128,559768,647128
1980,91030,115970,439970,555940,646970
1981,96780,118220,436256,554476,651256
1982,101630,122370,465498,587868,689498
1983,107000,133000,486587,619587,726587
1984,117025,164882,468289,633171,750196
1985,123811,187658,454612,642270,766081
1986,144723,207468,441000,648468,793191
1987,166100,232858,406327,639185,805285
1988,175925,244853,409815,654668,830593
1989,183505,251563,404876,656439,839944
1990,192592,253453,400099,653552,846144
1991,210993,258884,430843,689727,900720
1992,226863,280127,429205,709332,936195
1993,237743,312715,452109,764824,1002567
1994,264190,253044,517746,770790,1034980
1995,317073,264650,527739,792389,1109462
1996,379087,279170,535617,814787,1193874
1997,485864,295141,534285,829426,1315290
1998,574812,300452,538689,839141,1413953
1999,593202,309797,649418,959215,1552417
2000,657120,333799,670465,1004264,1661384
2001,712640,379497,688920,1068417,1781057
2002,786604,415420,688435,1103855,1890459
2003,856956,431908,709333,1141241,1998197
2004,882091,455207,732067,1187274,2069365
2005,892049,474597,859269,1333866,2225915
2006,914752,479810,956686,1436496,2351248
2007,945812,487438,1006761,1494199,2440011
2008,1005542,497573,1060181,1557754,2563296
2009,1064285,602642,1218937,1821579,2885864
2010,1308515,607492,1119094,1726586,3035101
2011,1523759,546333,1054585,1600918,3124677
